,number,value1,value2,value3,value4
0,1,183.994467,104.146686,495.248973,682.320074
1,2,188.575583,109.786927,506.276588,687.735433
2,3,192.056812,114.812253,513.710424,691.883618
3,4,196.526919,124.12699,521.83976,696.589244
4,5,201.218372,132.841469,527.937259,708.019504
5,1,204.434137,139.134552,533.478712,711.946988
6,2,207.942303,144.436955,541.595323,716.20648
7,3,210.880143,150.716546,548.222591,719.561376
8,4,215.934503,158.68277,555.18351,725.01903
9,5,220.278199,164.89104,562.645824,729.154036
10,1,224.120781,168.399443,568.28436,732.494731
11,2,228.450009,172.100249,575.259723,736.490746
12,3,231.665613,176.361684,583.081667,741.099543
13,4,235.996304,181.235455,589.98873,745.48539
14,5,240.591206,186.35689,596.964247,750.400291
